Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm)
15/02/2012,8:00,148,3.9,12.1,1,0.024,0.001,0.001,0.002
15/02/2012,9:00,138,3.8,17.7,1.1,0.025,0.001,0.002,0.002
15/02/2012,10:00,106,3.2,24.8,1.1,0.026,0.001,0.001,0.002
15/02/2012,11:00,110,2.4,30.6,1.1,0.025,0.001,0.001,0.002
15/02/2012,12:00,102,2.1,24.4,0.8,0.024,0.001,0.001,0.002
15/02/2012,13:00,124,1.4,39.4,0.9,0.024,0.001,0.001,0.001
15/02/2012,14:00,99,1.9,35.7,1,0.022,0.001,0.002,0.002
15/02/2012,15:00,100,3.5,19.5,1.1,0.022,0.002,0.003,0.004
15/02/2012,16:00,72,3.2,14.9,0.9,0.021,0.001,0.002,0.003
15/02/2012,17:00,83,3.5,11.7,1.1,0.019,0.002,0.002,0.004
15/02/2012,18:00,89,3,9.9,0.8,0.016,0.002,0.004,0.006
15/02/2012,19:00,90,2.9,9.6,0.6,0.016,0.003,0.004,0.006
15/02/2012,20:00,103,2.5,11.5,0.6,0.015,0.002,0.003,0.005
15/02/2012,21:00,165,1.8,14.9,0.5,0.011,0,0.006,0.006
15/02/2012,22:00,169,2.4,9.4,0.4,0.012,0,0.004,0.004
15/02/2012,23:00,162,1.8,8.1,0.4,0.011,0,0.004,0.004
16/02/2012,0:00,171,1.7,11.2,0.4,,,,
16/02/2012,1:00,181,1.9,12.7,0.5,0.014,0,0.001,0.001
16/02/2012,2:00,178,2.3,11.8,0.6,0.014,0,0.001,0.001
16/02/2012,3:00,174,1.9,12.1,0.5,0.013,0,0.001,0.001
16/02/2012,4:00,181,2,13.4,0.6,0.013,0,0.001,0.001
16/02/2012,5:00,181,2,11.9,0.5,0.012,0,0.001,0.001
16/02/2012,6:00,169,1.9,13.8,0.5,0.012,0,0.001,0.001
16/02/2012,7:00,162,2.6,14.7,0.8,0.013,0.001,0.002,0.003
16/02/2012,8:00,151,4.1,14.1,1.1,0.016,0.001,0.001,0.001
16/02/2012,9:00,142,3.8,21.1,1.2,0.017,0.001,0,0.001
16/02/2012,10:00,123,3.1,25.2,1.3,0.017,0.001,0.001,0.002
16/02/2012,11:00,119,2.8,26,1.1,0.018,0.001,0,0.001
16/02/2012,12:00,136,2.9,26.3,1.1,0.019,0,0.001,0.001
16/02/2012,13:00,133,3.2,22.4,1.1,0.018,0.001,0.001,0.002
16/02/2012,14:00,133,3,21.7,1,0.018,0.001,0.001,0.002
16/02/2012,15:00,128,3,22.2,1,0.019,0.001,0.001,0.002
16/02/2012,16:00,122,3.2,17.2,1.1,0.02,0.001,0.001,0.002
16/02/2012,17:00,91,3.2,11.3,0.9,0.018,0.002,0.002,0.003
16/02/2012,18:00,96,3,10.4,0.6,0.015,0.002,0.003,0.005
16/02/2012,19:00,110,2.8,12.7,0.9,0.013,0.003,0.004,0.007
16/02/2012,20:00,108,2.5,11.1,0.5,0.012,0.003,0.004,0.007
16/02/2012,21:00,118,2.5,11.7,0.4,0.011,0.003,0.004,0.006
16/02/2012,22:00,154,1.7,28.9,0.3,0.008,0.004,0.006,0.01
16/02/2012,23:00,202,2.1,15,0.6,0.012,0,0.002,0.002
17/02/2012,0:00,183,2.4,13.9,0.5,,,,
17/02/2012,1:00,181,2.1,12.8,0.5,0.012,0,0.001,0.001
17/02/2012,2:00,188,1.9,12.6,0.6,0.012,0,0.001,0.001
17/02/2012,3:00,180,1.9,11.5,0.5,0.011,0,0.001,0.001
17/02/2012,4:00,173,1.8,9.2,0.4,0.009,0,0.002,0.002
17/02/2012,5:00,181,1.7,10,0.4,0.01,0,0.002,0.002
17/02/2012,6:00,176,1.9,15.9,0.6,0.01,0.001,0.002,0.003
17/02/2012,7:00,162,3.2,11.1,0.8,0.012,0.002,0.002,0.003
17/02/2012,8:00,147,3.4,16.9,1.1,0.015,0.001,0,0.001
17/02/2012,9:00,148,2.8,22.2,1,0.016,0.001,0.001,0.001
17/02/2012,10:00,134,3,23.4,0.9,0.016,0.001,0,0.001
17/02/2012,11:00,149,2.2,29.5,1,0.017,0.001,0.001,0.001
17/02/2012,12:00,149,2.4,27.7,0.9,0.017,0,0.001,0.001
17/02/2012,13:00,139,2.8,17.9,1,0.018,0.001,0.001,0.002
17/02/2012,14:00,132,2,32.5,0.9,0.018,0.001,0.001,0.002
17/02/2012,15:00,90,2.6,25.2,1,0.018,0.001,0.001,0.002
17/02/2012,16:00,37,3.1,18.9,0.9,0.024,0,0.002,0.002
17/02/2012,17:00,59,3.8,17.7,1.2,0.028,0.001,0.003,0.003
17/02/2012,18:00,64,3.1,13.1,0.9,0.018,0.001,0.003,0.004
17/02/2012,19:00,63,2.5,12.1,0.8,0.014,0.001,0.003,0.003
17/02/2012,20:00,78,0.8,41.8,0.4,0.01,0.001,0.007,0.008
17/02/2012,21:00,163,0.9,31.3,0.4,0.013,0,0.002,0.002
17/02/2012,22:00,151,1.6,10.8,0.4,0.012,0,0.003,0.003
17/02/2012,23:00,148,1.8,12.8,0.3,0.011,0.001,0.003,0.004
18/02/2012,0:00,186,1.3,27.2,0.4,,,,
18/02/2012,1:00,181,1.7,17.1,0.6,0.007,0.002,0.004,0.005
18/02/2012,2:00,190,1.6,13.6,0.4,0.008,0,0.002,0.002
18/02/2012,3:00,177,1.7,17.2,0.5,0.008,0,0.002,0.002
18/02/2012,4:00,212,1.7,18.4,0.4,0.008,0.001,0.001,0.002
18/02/2012,5:00,172,1.7,9.6,0.3,0.007,0.001,0.003,0.003
18/02/2012,6:00,180,1.4,22.2,0.5,0.007,0.002,0.003,0.004
18/02/2012,7:00,156,1.6,16.6,0.5,0.011,0.001,0.001,0.002
18/02/2012,8:00,161,2.3,19.7,0.8,0.014,0,0.001,0.001
18/02/2012,9:00,155,2.4,27.7,1,0.017,0,0,0
18/02/2012,10:00,96,2.2,33.4,0.9,0.018,0,0,0
18/02/2012,11:00,84,1.7,38.5,1,0.018,0,0,0
18/02/2012,12:00,103,1.1,60.7,0.8,0.02,0,0,0
18/02/2012,13:00,109,1,68.8,0.9,0.021,0,0,0
18/02/2012,14:00,55,1.2,54.2,0.9,0.023,0,0,0
18/02/2012,15:00,54,2.8,25.1,1,0.03,0,0.001,0.001
18/02/2012,16:00,50,3,22.7,1,0.029,0,0.001,0.001
18/02/2012,17:00,55,3.2,14.9,0.9,0.027,0,0.001,0.001
18/02/2012,18:00,62,2.8,13.2,0.8,0.021,0,0.002,0.002
18/02/2012,19:00,62,2.3,11.8,0.7,0.016,0,0.002,0.002
18/02/2012,20:00,78,1.7,19.3,0.5,0.013,0,0.003,0.003
18/02/2012,21:00,111,0.8,32.5,0.2,0.011,0,0.004,0.004
18/02/2012,22:00,349,0.1,110.2,0.4,0.011,0,0.003,0.003
18/02/2012,23:00,223,1,56.9,0.8,0.011,0.001,0.002,0.002
19/02/2012,0:00,218,1.5,7.8,0.5,,,,
19/02/2012,1:00,233,1.2,14.6,0.3,0.01,0.001,0.001,0.002
19/02/2012,2:00,158,0.6,53.7,0.2,0.006,0.002,0.004,0.005
19/02/2012,3:00,134,0.8,38.2,0.4,0.005,0.001,0.004,0.005
19/02/2012,4:00,162,0.7,51.3,0.3,0.003,0.002,0.004,0.006
19/02/2012,5:00,178,1.4,16.7,0.3,0.007,0,0.002,0.002
19/02/2012,6:00,191,1.4,23.2,0.5,0.006,0.001,0.001,0.002
19/02/2012,7:00,172,1.3,25,0.4,0.01,0.001,0.001,0.002
19/02/2012,8:00,162,1.9,23.2,0.6,0.016,0,0.001,0.001
19/02/2012,9:00,158,0.7,78.5,0.6,0.018,0,0,0
19/02/2012,10:00,130,0.3,105.8,0.6,0.017,0,0,0
19/02/2012,11:00,191,0.7,64.8,0.5,0.018,0,0,0
19/02/2012,12:00,109,0.6,94.2,0.8,0.018,0,0,0
19/02/2012,13:00,134,0.7,76.5,0.7,0.019,0,0,0
19/02/2012,14:00,154,1.1,58.4,0.7,0.02,0,0,0
19/02/2012,15:00,120,1.4,50.5,1,0.021,0,0.001,0.001
19/02/2012,16:00,76,2.6,31.1,1,0.026,0,0.002,0.002
19/02/2012,17:00,57,3.5,13.5,1.1,0.029,0,0.002,0.002
19/02/2012,18:00,65,3,12,0.9,0.02,0.001,0.003,0.004
19/02/2012,19:00,59,3.4,13,0.9,0.016,0,0.002,0.002
19/02/2012,20:00,47,2.6,12.9,1,0.014,0,0.002,0.002
19/02/2012,21:00,94,1.3,21.6,0.4,0.008,0.003,0.006,0.009
19/02/2012,22:00,79,0.9,32.2,0.6,0.007,0.003,0.005,0.008
19/02/2012,23:00,205,1.1,16.4,0.3,0.01,0.001,0.001,0.002
20/02/2012,0:00,216,1.3,13.9,0.3,,,,
20/02/2012,1:00,170,1.1,28.4,0.3,0.007,0.001,0.002,0.003
20/02/2012,2:00,162,1,7.6,0.4,0.003,0.001,0.005,0.006
20/02/2012,3:00,250,0.4,50.2,0.2,0.003,0.005,0.005,0.009
20/02/2012,4:00,233,0.9,38,0.4,0.006,0,0.002,0.002
20/02/2012,5:00,244,0.9,14.5,0.3,0.005,0.002,0.002,0.003
20/02/2012,6:00,96,0.6,35.4,0.2,0.002,0.012,0.004,0.016
20/02/2012,7:00,40,0.6,150.2,0.3,0.005,0.003,0.002,0.005
20/02/2012,8:00,340,1.2,29.8,0.5,0.011,0.001,0.002,0.002
20/02/2012,9:00,351,1.9,31.1,0.7,0.019,0.001,0.001,0.002
20/02/2012,10:00,335,2.3,28.6,0.9,0.025,0,0.001,0.001
20/02/2012,11:00,323,2.1,29.1,0.8,0.03,0,0,0
20/02/2012,12:00,332,2.1,29.8,0.9,0.031,0,0,0
20/02/2012,13:00,343,1.5,35.4,0.7,0.031,0,0,0
20/02/2012,14:00,15,1.9,24,0.7,0.035,0,0.001,0.001
20/02/2012,15:00,28,2.8,15.2,0.8,0.038,0,0.003,0.003
20/02/2012,16:00,34,3.3,12.2,0.9,0.041,0,0.004,0.004
20/02/2012,17:00,47,3.6,12.7,1,0.039,0,0.008,0.008
20/02/2012,18:00,56,3.1,14.1,0.9,0.029,0.001,0.01,0.011
20/02/2012,19:00,57,2.8,14.6,0.8,0.018,0,0.01,0.01
20/02/2012,20:00,75,2.1,20.4,0.6,0.011,0.002,0.006,0.008
20/02/2012,21:00,92,1.7,27.7,0.6,0.009,0.002,0.006,0.007
20/02/2012,22:00,96,0.4,75.7,0.4,0.007,0.001,0.006,0.007
20/02/2012,23:00,74,0.3,118.5,0.8,0.005,0.001,0.006,0.007
21/02/2012,0:00,161,1.8,32.2,0.6,,,,
21/02/2012,1:00,152,1.7,40.8,1,0.004,0.001,0.006,0.006
21/02/2012,2:00,190,2.7,17.8,0.9,0.009,0,0.004,0.004
21/02/2012,3:00,142,2.6,14.5,0.6,0.016,0.001,0.003,0.004
21/02/2012,4:00,196,1.6,38,0.4,0.013,0.001,0.003,0.003
21/02/2012,5:00,161,2.1,18.5,0.5,0.013,0.001,0.004,0.005
21/02/2012,6:00,138,0.8,41.5,0.5,0.013,0.002,0.005,0.007
21/02/2012,7:00,324,1,33.7,0.5,0.017,0,0.002,0.002
21/02/2012,8:00,331,1.6,25.7,0.5,0.017,0.001,0.003,0.004
21/02/2012,9:00,319,0.9,44.6,0.5,0.018,0.002,0.005,0.007
21/02/2012,10:00,277,0.8,59.7,0.6,0.025,0.002,0.004,0.005
21/02/2012,11:00,258,1.3,52,0.9,0.032,0,0.002,0.002
21/02/2012,12:00,301,1.7,44.2,1,0.032,0,0.001,0.001
21/02/2012,13:00,316,1.3,60.3,0.8,0.033,0.001,0.001,0.002
21/02/2012,14:00,49,1.3,66.2,1.1,0.037,0,0.002,0.002
21/02/2012,15:00,177,1.8,41,0.9,0.034,0,0.001,0.001
21/02/2012,16:00,359,2.1,22,0.8,0.038,0,0.003,0.003
21/02/2012,17:00,193,0.4,86,0.6,0.039,0,0.003,0.003
21/02/2012,18:00,20,1.5,171.7,0.7,0.023,0,0.01,0.01
21/02/2012,19:00,60,1.8,17.1,0.4,0.02,0.001,0.011,0.011
21/02/2012,20:00,62,1.3,25.3,0.4,0.018,0.001,0.011,0.011
21/02/2012,21:00,142,2.3,13.8,0.6,0.013,0.001,0.011,0.012
21/02/2012,22:00,153,1.2,35.1,0.7,0.016,0.001,0.007,0.007
21/02/2012,23:00,163,1.3,28.1,0.6,0.019,0,0.004,0.004
22/02/2012,0:00,169,2,12.9,0.6,,,,
22/02/2012,1:00,162,2.6,13.1,0.6,0.022,0,0.001,0.001
22/02/2012,2:00,168,1.9,12.9,0.5,0.021,0,0.001,0.001
22/02/2012,3:00,167,1.8,12.8,0.5,0.019,0,0.003,0.003
22/02/2012,4:00,139,1.3,16.3,0.3,0.014,0.001,0.006,0.007
22/02/2012,5:00,157,1.4,17.1,0.3,0.014,0.001,0.006,0.007
22/02/2012,6:00,144,1.5,11.4,0.4,0.013,0.002,0.006,0.008
22/02/2012,7:00,150,2.6,13.8,0.7,0.02,0.001,0.002,0.003
22/02/2012,8:00,147,2.5,26.8,0.8,0.023,0.001,0.001,0.001
22/02/2012,9:00,124,2.5,25.6,1,0.024,0.001,0.001,0.001
22/02/2012,10:00,128,1.9,39,0.8,0.025,0,0.001,0.001
22/02/2012,11:00,121,1.5,39.9,0.8,0.025,0.001,0.001,0.001
22/02/2012,12:00,118,1.3,43.4,0.8,0.026,0,0.001,0.001
22/02/2012,13:00,57,2.5,29.5,1.2,0.031,0,0.002,0.002
22/02/2012,14:00,71,3.5,18.7,1.1,0.037,0.001,0.002,0.003
22/02/2012,15:00,58,3.8,16.7,1.3,0.033,0,0.003,0.003
22/02/2012,16:00,68,3.8,16.7,1.2,0.029,0.001,0.002,0.003
22/02/2012,17:00,137,3.4,24.5,1.1,0.023,0.001,0.003,0.004
22/02/2012,18:00,158,3.4,13.6,1.1,0.02,0,0.002,0.002
22/02/2012,19:00,175,2.8,13.3,0.8,0.019,0,0.001,0.001
22/02/2012,20:00,185,1.9,15.6,0.6,0.018,0,0.002,0.002
22/02/2012,21:00,191,2.2,17.3,0.5,0.018,0,0.002,0.002
22/02/2012,22:00,168,1.7,24.9,0.5,0.015,0.001,0.004,0.004
22/02/2012,23:00,168,1.9,15.6,0.6,0.01,0.001,0.006,0.006
23/02/2012,0:00,175,1.8,17.2,0.6,,,,
23/02/2012,1:00,184,2.1,16.1,0.7,0.013,0,0.002,0.002
23/02/2012,2:00,164,2.6,10.1,0.6,0.01,0,0.003,0.003
23/02/2012,3:00,155,2.1,14.6,0.5,0.009,0.001,0.003,0.004
23/02/2012,4:00,182,1.8,27.5,0.4,0.01,0.001,0.003,0.004
23/02/2012,5:00,198,1.5,22.7,0.4,0.009,0,0.002,0.002
23/02/2012,6:00,175,2,14.7,0.5,0.005,0.003,0.005,0.008
23/02/2012,7:00,169,2.1,15,0.6,0.006,0.003,0.004,0.006
23/02/2012,8:00,162,2.8,10.1,0.6,0.007,0.002,0.003,0.005
23/02/2012,9:00,165,2.3,16.6,0.6,0.011,0.002,0.002,0.004
23/02/2012,10:00,165,2.6,13.4,0.6,0.015,0.001,0.001,0.002
23/02/2012,11:00,139,2.4,19.1,0.6,0.017,0.002,0.002,0.003
23/02/2012,12:00,133,2.2,18.1,0.6,0.016,0.002,0.002,0.003
23/02/2012,13:00,123,3.2,13.2,0.8,0.018,0.001,0.001,0.002
23/02/2012,14:00,119,3.4,15.6,0.9,0.021,0.001,0.001,0.002
23/02/2012,15:00,97,2.7,16.7,0.7,0.022,0.001,0.001,0.002
23/02/2012,16:00,78,2.6,18,0.8,0.022,0.001,0.001,0.002
23/02/2012,17:00,91,2.4,12.4,0.7,0.021,0.001,0.002,0.002
23/02/2012,18:00,92,2,10.8,0.5,0.018,0.002,0.004,0.006
23/02/2012,19:00,82,1.5,13.1,0.4,0.016,0.002,0.006,0.007
23/02/2012,20:00,156,1,23.9,0.4,0.015,0,0.006,0.006
23/02/2012,21:00,117,0.1,102.4,0.3,0.007,0.008,0.011,0.019
23/02/2012,22:00,242,1,25.1,0.3,0.012,0,0.002,0.002
23/02/2012,23:00,201,1.6,22.8,0.8,0.013,0,0.001,0.001
24/02/2012,0:00,154,1.8,27.6,0.6,,,,
24/02/2012,1:00,171,1.9,16.4,0.6,0.01,0.001,0.002,0.003
24/02/2012,2:00,185,1.7,14.7,0.5,0.017,0,0.001,0.001
24/02/2012,3:00,180,1.8,17.9,0.4,0.016,0,0.001,0.001
24/02/2012,4:00,176,1.8,13.6,0.5,0.016,0,0.002,0.002
24/02/2012,5:00,176,1.7,13.8,0.4,0.016,0,0.002,0.002
24/02/2012,6:00,169,1.6,13.8,0.5,0.015,0.001,0.002,0.003
24/02/2012,7:00,159,2,11.7,0.7,0.014,0.001,0.003,0.003
24/02/2012,8:00,56,0.8,138.4,0.4,0.013,0.001,0.001,0.002
24/02/2012,9:00,12,1.1,21.6,0.4,0.013,0.001,0.003,0.004
24/02/2012,10:00,34,1.1,39.9,0.6,0.012,0.002,0.004,0.006
24/02/2012,11:00,149,2,21.8,0.7,0.015,0.002,0.003,0.004
24/02/2012,12:00,157,4.3,10.7,1.1,0.015,0,0.001,0.001
24/02/2012,13:00,154,5.4,10,1.1,0.015,0.001,0.001,0.002
24/02/2012,14:00,151,4,12.3,1.2,0.014,0.001,0.001,0.002
24/02/2012,15:00,136,2.9,21.8,0.8,0.012,0.002,0.002,0.003
24/02/2012,16:00,147,2,18,0.9,0.011,0.002,0.003,0.005
24/02/2012,17:00,143,2.2,18.3,0.9,0.01,0.002,0.003,0.005
24/02/2012,18:00,184,1.3,21.6,0.4,0.007,0.001,0.004,0.005
24/02/2012,19:00,148,1.4,13.1,0.5,0.006,0.003,0.005,0.008
24/02/2012,20:00,177,1.8,16.7,0.6,0.01,0.001,0.002,0.003
24/02/2012,21:00,161,2.4,10,0.5,0.01,0,0.003,0.003
24/02/2012,22:00,166,3.1,21,1.5,0.01,0.001,0.001,0.002
24/02/2012,23:00,159,4.1,13.6,1.2,0.012,0,0.001,0.001
25/02/2012,0:00,160,3.5,9.5,0.7,,,,
25/02/2012,1:00,156,3.9,9.2,0.9,0.012,0,0.001,0.001
25/02/2012,2:00,165,3.3,11.4,0.9,0.011,0,0,0
25/02/2012,3:00,163,3.8,10.3,0.8,0.011,0,0,0
25/02/2012,4:00,168,3.5,11.3,0.9,0.011,0,0,0
25/02/2012,5:00,167,3.5,10.2,0.8,0.011,0,0.001,0.001
25/02/2012,6:00,162,2.7,11.5,0.8,0.01,0.001,0.001,0.002
25/02/2012,7:00,171,3.1,12.3,0.9,0.01,0,0.001,0.001
25/02/2012,8:00,164,3.5,11.7,0.9,0.01,0,0.001,0.001
25/02/2012,9:00,160,3,17.9,1,0.01,0.001,0,0.001
25/02/2012,10:00,100,4.4,19,1.3,0.013,0.001,0,0.001
25/02/2012,11:00,110,4.6,17.2,1.3,0.013,0.001,0.001,0.001
25/02/2012,12:00,88,4.7,21.2,1.7,0.013,0,0.001,0.001
25/02/2012,13:00,111,4.6,13.1,1.4,0.014,0,0.001,0.001
25/02/2012,14:00,100,5.1,11.5,1.4,0.014,0,0.001,0.001
25/02/2012,15:00,83,3.4,19.8,1.1,0.012,0,0.001,0.001
25/02/2012,16:00,112,2.4,19,0.9,0.01,0.001,0.001,0.002
25/02/2012,17:00,126,2.5,19.6,0.9,0.01,0.001,0.001,0.002
25/02/2012,18:00,124,3.5,9.8,0.9,0.011,0.001,0.001,0.002
25/02/2012,19:00,134,3.4,12.1,0.7,0.01,0,0.001,0.001
25/02/2012,20:00,153,2.9,11.5,0.6,0.009,0,0.001,0.001
25/02/2012,21:00,164,2.7,9.4,0.6,0.009,0,0.001,0.001
25/02/2012,22:00,161,2.3,12.3,0.5,0.009,0.001,0.001,0.001
25/02/2012,23:00,114,2.2,25.4,0.8,0.01,0,0.001,0.001
26/02/2012,0:00,146,2.6,12.2,0.6,,,,
26/02/2012,1:00,116,2.9,10.5,0.7,0.011,0,0.001,0.001
26/02/2012,2:00,123,2.4,16,0.5,0.01,0,0.001,0.001
26/02/2012,3:00,138,2.6,10.9,0.6,0.01,0.001,0,0.001
26/02/2012,4:00,132,3.2,9.1,0.6,0.011,0,0,0
26/02/2012,5:00,140,2.8,7.1,0.5,0.011,0.001,0.001,0.001
26/02/2012,6:00,149,3.2,6.9,0.6,0.01,0.001,0.001,0.002
26/02/2012,7:00,133,4,13,0.9,0.012,0,0,0
26/02/2012,8:00,109,4.4,15.3,1.1,0.015,0,0.001,0.001
26/02/2012,9:00,114,3.8,13.7,1,0.016,0,0.001,0.001
26/02/2012,10:00,119,4.4,15.5,1.1,0.017,0,0.001,0.001
26/02/2012,11:00,106,4.8,17.4,1.2,0.019,0.001,0.001,0.001
26/02/2012,12:00,103,4.2,15.3,1,0.02,0,0.001,0.001
26/02/2012,13:00,95,4.7,13.7,1.3,0.019,0,0.001,0.001
26/02/2012,14:00,111,4.2,12.1,1,0.019,0.001,0.001,0.002
26/02/2012,15:00,68,3.3,20,1.3,0.018,0,0.001,0.001
26/02/2012,16:00,76,4.1,14.7,1.1,0.017,0.001,0.001,0.002
26/02/2012,17:00,83,3.6,12.4,1,0.016,0.001,0.001,0.002
26/02/2012,18:00,86,2.8,10.4,0.9,0.014,0.001,0.002,0.003
26/02/2012,19:00,94,1.8,10.5,0.4,0.01,0.003,0.003,0.006
26/02/2012,20:00,116,1.9,8.9,0.4,0.008,0.003,0.005,0.007
26/02/2012,21:00,145,1.8,14.3,0.2,0.006,0.005,0.007,0.011
26/02/2012,22:00,167,2.1,7.4,0.3,0.008,0.001,0.004,0.005
26/02/2012,23:00,170,2.3,7.9,0.4,0.009,0,0.002,0.002
27/02/2012,0:00,170,2.2,13.3,0.6,,,,
27/02/2012,1:00,178,2.1,12.9,0.5,0.009,0,0.001,0.001
27/02/2012,2:00,169,1.9,11.5,0.5,0.008,0,0.002,0.002
27/02/2012,3:00,176,1.9,15.3,0.6,0.008,0,0.002,0.002
27/02/2012,4:00,169,2.6,10,0.5,0.007,0,0.002,0.002
27/02/2012,5:00,165,2.4,15.9,0.7,0.007,0.001,0.002,0.003
27/02/2012,6:00,173,2.5,13.5,0.6,0.009,0.001,0.001,0.002
27/02/2012,7:00,153,2.2,11.7,0.5,0.011,0.001,0.001,0.002
27/02/2012,8:00,99,3.2,29.2,1.1,0.016,0.001,0.001,0.002
27/02/2012,9:00,79,3.3,18.8,0.9,0.019,0.001,0.001,0.002
27/02/2012,10:00,83,4,16.2,1.3,0.02,0.001,0.002,0.003
27/02/2012,11:00,73,3.5,24,1.1,0.022,0.002,0.002,0.003
27/02/2012,12:00,40,3.2,26.4,1.1,0.024,0.001,0.002,0.003
27/02/2012,13:00,49,3.1,16.7,1,0.023,0.001,0.003,0.004
27/02/2012,14:00,48,2.3,19.3,1,0.022,0.002,0.003,0.005
27/02/2012,15:00,43,3.3,16.6,1.1,0.021,0.002,0.004,0.006
27/02/2012,16:00,50,2.7,14.8,0.8,0.02,0.001,0.004,0.005
27/02/2012,17:00,61,2.4,15,0.7,0.016,0.001,0.003,0.004
27/02/2012,18:00,64,2,13.7,0.6,0.013,0.002,0.005,0.006
27/02/2012,19:00,107,1.6,12.2,0.3,0.007,0.004,0.009,0.013
27/02/2012,20:00,122,1.4,16.2,0.3,0.006,0.005,0.007,0.012
27/02/2012,21:00,135,1.4,10.5,0.3,0.007,0.003,0.007,0.01
27/02/2012,22:00,162,2.2,12.3,0.3,0.009,0.001,0.004,0.005
27/02/2012,23:00,178,2.1,11.1,0.5,0.01,0,0.002,0.002
28/02/2012,0:00,177,2.2,10.5,0.6,,,,
28/02/2012,1:00,175,2.4,11.2,0.6,0.009,0,0.001,0.001
28/02/2012,2:00,179,2.2,13,0.4,0.009,0,0.001,0.001
28/02/2012,3:00,178,2.3,11.6,0.5,0.009,0,0.001,0.001
28/02/2012,4:00,178,2.1,14.3,0.5,0.009,0,0.001,0.001
28/02/2012,5:00,156,2.3,9.3,0.4,0.004,0.004,0.005,0.008
28/02/2012,6:00,174,1.9,12.9,0.5,0.008,0.001,0.002,0.003
28/02/2012,7:00,161,1.6,21.7,0.4,0.01,0.002,0.001,0.003
28/02/2012,8:00,76,1.6,37.8,0.8,0.016,0.001,0.001,0.002
28/02/2012,9:00,33,1.8,34.3,0.8,0.019,0.002,0.002,0.004
28/02/2012,10:00,32,1.7,34.4,0.8,0.024,0.002,0.005,0.007
28/02/2012,11:00,38,2.2,33.4,1.1,,,,
28/02/2012,12:00,30,2.7,27.4,1,,,,
28/02/2012,13:00,29,2.1,35.5,1,,,,
28/02/2012,14:00,24,2.7,22.9,1,0.035,0,0,0
28/02/2012,15:00,32,3.3,16.9,1,0.035,0.001,0.001,0.002
28/02/2012,16:00,40,3.4,14.5,0.9,0.034,0.001,0.002,0.003
28/02/2012,17:00,41,3.7,13.1,1,0.026,0.002,0.003,0.005
28/02/2012,18:00,41,3.2,10.9,0.9,0.015,0.002,0.005,0.006
28/02/2012,19:00,44,2.3,12.7,0.6,0.013,0.002,0.004,0.006
28/02/2012,20:00,60,1.6,18.7,0.6,0.009,0.004,0.005,0.009
28/02/2012,21:00,106,0.8,42.5,0.3,0.006,0.004,0.008,0.012
28/02/2012,22:00,215,0.7,32.3,0.4,0.008,0.001,0.005,0.006
28/02/2012,23:00,170,0.7,24.6,0.2,0.009,0.001,0.004,0.005
29/02/2012,0:00,112,0.4,49.1,0.2,,,,
29/02/2012,1:00,199,1,19.8,0.2,0.007,0.002,0.004,0.006
29/02/2012,2:00,200,1.2,29.4,0.2,0.006,0.002,0.003,0.005
29/02/2012,3:00,157,1.4,12.5,0.3,0.002,0.007,0.007,0.014
29/02/2012,4:00,162,0.8,35.1,0.3,0.002,0.011,0.005,0.015
29/02/2012,5:00,210,1.3,29.1,0.3,0.004,0.002,0.002,0.004
29/02/2012,6:00,165,0.6,53.5,0.5,0.003,0.009,0.003,0.011
29/02/2012,7:00,190,0.1,94,0.3,0.004,0.007,0.002,0.009
29/02/2012,8:00,332,0.9,46.5,0.5,0.012,0.004,0.002,0.006
29/02/2012,9:00,313,1.5,38.5,0.7,0.018,0.001,0,0.001
29/02/2012,10:00,301,2.6,23.4,0.8,,,,
29/02/2012,11:00,318,3,22.6,0.9,,,,
29/02/2012,12:00,324,2.6,27.2,1.2,0.024,0,0,0
29/02/2012,13:00,337,2.4,28.3,1.1,0.024,0,0,0
29/02/2012,14:00,327,2.6,29.4,1.1,0.022,0,0,0
29/02/2012,15:00,333,2.2,31.8,0.9,0.024,0,0,0
29/02/2012,16:00,322,2.1,19,0.8,0.024,0,0,0
29/02/2012,17:00,24,1.9,150.2,1.1,0.027,0,0.003,0.003
29/02/2012,18:00,45,2.7,11.6,0.6,0.023,0,0.006,0.006
29/02/2012,19:00,44,2.8,11.4,0.6,0.016,0.001,0.008,0.009
29/02/2012,20:00,50,2.1,11.3,0.5,0.012,0.001,0.009,0.01
29/02/2012,21:00,72,1,41.9,0.7,0.01,0.001,0.009,0.01
29/02/2012,22:00,171,1.2,29.1,0.6,0.012,0,0.008,0.008
29/02/2012,23:00,161,1.5,19.9,0.6,0.007,0.001,0.009,0.01
1/03/2012,0:00,150,0.9,22.9,0.2,,,,
1/03/2012,1:00,175,0.8,24.2,0.3,0.012,0,0.005,0.005
1/03/2012,2:00,169,1.4,11.1,0.4,0.007,0.001,0.007,0.007
1/03/2012,3:00,149,0.9,29,0.4,0.004,0.003,0.007,0.01
1/03/2012,4:00,188,0.7,46,0.3,0.003,0.002,0.006,0.008
1/03/2012,5:00,188,1,30.9,0.3,0.003,0.007,0.005,0.012
